x_out,y_out
-1.216422438621521,-1.1364049911499023
-1.1986280679702759,-1.1819506883621216
-1.1424531936645508,-1.2973216772079468
-1.039516806602478,-1.3975132703781128
-0.9264781475067139,-1.4623123407363892
-0.8034054040908813,-1.50105881690979
-0.6682341694831848,-1.5120468139648438
-0.532179594039917,-1.4981950521469116
-0.4151459336280823,-1.4671313762664795
-0.3124735951423645,-1.422662615776062
-0.2046775221824646,-1.358626127243042
-0.10445688664913177,-1.283935546875
-0.010182657279074192,-1.195418119430542
0.06985872983932495,-1.1029309034347534
0.13075906038284302,-1.0220295190811157
0.1898336261510849,-0.9322726726531982
0.24180474877357483,-0.8413043022155762
0.2910226583480835,-0.7444556355476379
0.332704097032547,-0.6561946868896484
0.37236350774765015,-0.5636963844299316
0.40511631965637207,-0.48043280839920044
0.435285359621048,-0.39987584948539734
0.4627154767513275,-0.32090672850608826
0.4878895878791809,-0.2447020560503006
0.5109939575195312,-0.17069636285305023
0.5330508351325989,-0.09901050478219986
0.5538411140441895,-0.029591860249638557
0.5736684799194336,0.03759780898690224
0.5927935242652893,0.10260060429573059
0.6116245985031128,0.1649954915046692
0.6295777559280396,0.2257763296365738
0.6471027731895447,0.2847359776496887
0.6656144857406616,0.34056565165519714
0.6837078332901001,0.3942413926124573
0.7032245397567749,0.4508700966835022
0.721002459526062,0.5012298226356506
0.7391447424888611,0.5497410893440247
0.7572584748268127,0.595954418182373
0.7751649022102356,0.6404339075088501
0.7925816178321838,0.6834397315979004
0.8097075819969177,0.7250196933746338
0.826988697052002,0.7647352814674377
0.844171941280365,0.8033543825149536
0.8611714243888855,0.8402779698371887
0.8782593011856079,0.8760349750518799
0.8967334628105164,0.9103171229362488
0.9161584973335266,0.9436097741127014
0.9353716969490051,0.9755756855010986
0.9543348550796509,1.0062212944030762
0.9729107022285461,1.0354905128479004
0.9912238121032715,1.0635749101638794
1.0092785358428955,1.0905354022979736
1.0266684293746948,1.1164178848266602
1.0408217906951904,1.1401212215423584
1.0552163124084473,1.1623648405075073
1.0690199136734009,1.1834627389907837
1.0816904306411743,1.2028769254684448
1.0875719785690308,1.211584448814392
1.087710976600647,1.2115294933319092
1.0877968072891235,1.2114627361297607
1.087792992591858,1.211567997932434
1.0878915786743164,1.2115120887756348
1.0878831148147583,1.211452603340149
1.0880272388458252,1.2113834619522095
1.0880239009857178,1.211427927017212
1.088091254234314,1.2113783359527588
1.0880810022354126,1.2113840579986572
1.088122010231018,1.2114388942718506
1.0881496667861938,1.2114726305007935
1.0882108211517334,1.211511254310608
1.0882644653320312,1.2115108966827393
1.0882703065872192,1.2115132808685303
1.0883184671401978,1.211526870727539
1.0883009433746338,1.2115306854248047
1.08828604221344,1.2115199565887451
1.0882594585418701,1.2115058898925781
1.0882577896118164,1.2115179300308228
1.0883045196533203,1.211462378501892
